trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
710,False,"{'a': 0.5, 'e': 0.33625338836329416}",20,13,-5.541291475873601,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
711,False,"{'a': 0.5, 'e': 0.3357376163108222}",25,11,4.8824182691886575,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 0.335222635390334}",25,13,21.25528313613537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.5, 'e': 0.3347084443883283}",20,0,15.022498361895181,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
714,False,"{'a': 0.5, 'e': 0.334195042093166}",20,0,-7.462675945537496,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
715,False,"{'a': 0.5, 'e': 0.33368242729506586}",30,0,-16.948237269699153,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
716,False,"{'a': 0.5, 'e': 0.3331705987861027}",30,20,19.57093698401305,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 0.3326595553602042}",25,11,-15.133756746387853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
718,False,"{'a': 0.5, 'e': 0.3321492958131475}",20,8,-14.298367524498815,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
719,False,"{'a': 0.5, 'e': 0.3316398189425575}",20,7,8.896230656345544,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
720,False,"{'a': 0.5, 'e': 0.33113112354790286}",25,20,9.046700238456909,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 0.3306232084304942}",30,14,-13.485220664496191,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
722,False,"{'a': 0.5, 'e': 0.33011607239348034}",25,18,5.738673654651721,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 0.3296097142418462}",20,0,-38.686850205040834,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
724,False,"{'a': 0.5, 'e': 0.32910413278240974}",20,12,13.99891571960926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 0.3285993268238188}",30,18,-19.131471880945792,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
726,False,"{'a': 0.5, 'e': 0.32809529517654906}",20,3,30.12847868735716,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.5, 'e': 0.3275920366529004}",20,14,7.796859949028628,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.5, 'e': 0.3270895500669947}",25,14,18.378424791027307,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 0.32658783423477267}",25,13,10.158784719591722,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
730,False,"{'a': 0.5, 'e': 0.3260868879739914}",35,21,1.7002523443634399,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
731,False,"{'a': 0.5, 'e': 0.32558671010422136}",30,1,4.986433163339793,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 0}",1
732,False,"{'a': 0.5, 'e': 0.32508729944684356}",20,11,11.130110590800161,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.5, 'e': 0.324588654825047}",20,1,-5.921112909713649,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
734,False,"{'a': 0.5, 'e': 0.32409077506382555}",25,13,25.076185720324887,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.5, 'e': 0.3235936589899758}",20,11,1.0590714927363618,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
736,False,"{'a': 0.5, 'e': 0.3230973054320933}",20,2,-12.545518993773165,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
737,False,"{'a': 0.5, 'e': 0.3226017132205709}",20,12,2.148334084613249,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
738,False,"{'a': 0.5, 'e': 0.32210688118759545}",25,15,0.8232496101796309,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
739,False,"{'a': 0.5, 'e': 0.3216128081671447}",20,10,-28.051768014649443,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
740,False,"{'a': 0.5, 'e': 0.3211194929949853}",20,4,8.91153310923164,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
741,False,"{'a': 0.5, 'e': 0.3206269345086696}",20,15,9.576477570178627,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.5, 'e': 0.3201351315475329}",25,16,14.453724354236876,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.5, 'e': 0.31964408295269103}",25,0,-6.673033060623293,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",1
744,False,"{'a': 0.5, 'e': 0.31915378756703716}",20,12,-10.947223679144102,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
745,False,"{'a': 0.5, 'e': 0.31866424423523954}",25,12,-28.322401491299882,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
746,False,"{'a': 0.5, 'e': 0.3181754518037383}",25,11,17.199055672418297,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.5, 'e': 0.31768740912074334}",25,13,27.177338928081458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.5, 'e': 0.3172001150362309}",20,2,16.938728311042087,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
749,False,"{'a': 0.5, 'e': 0.31671356840194154}",25,11,-1.8904972490567247,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
750,False,"{'a': 0.5, 'e': 0.3162277680713769}",25,14,-11.334428857606056,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
751,False,"{'a': 0.5, 'e': 0.31574271289979733}",25,0,-29.361104865103133,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
752,False,"{'a': 0.5, 'e': 0.315258401744219}",20,9,1.5592777058466183,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
753,False,"{'a': 0.5, 'e': 0.31477483346341123}",20,0,5.4667304712114735,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
754,False,"{'a': 0.5, 'e': 0.314292006917894}",25,0,-5.034129012574832,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
755,False,"{'a': 0.5, 'e': 0.313809920969935}",30,0,-11.65279641874686,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",1
756,False,"{'a': 0.5, 'e': 0.31332857448354706}",20,0,-112.42304331515273,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
757,False,"{'a': 0.5, 'e': 0.3128479663244856}",30,8,6.845794953221399,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 0}",1
758,False,"{'a': 0.5, 'e': 0.3123680953602456}",20,11,4.635498968030227,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
759,False,"{'a': 0.5, 'e': 0.3118889604600596}",20,15,8.608758086668903,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.5, 'e': 0.31141056049489396}",20,0,-23.669647409339362,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
761,False,"{'a': 0.5, 'e': 0.3109328943374475}",20,4,20.135964530536896,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.5, 'e': 0.31045596086214766}",20,0,-15.81551688085857,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
763,False,"{'a': 0.5, 'e': 0.3099797589451486}",25,16,11.941730096814721,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.5, 'e': 0.30950428746432856}",20,3,11.56805035462417,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
765,False,"{'a': 0.5, 'e': 0.30902954529928645}",30,9,-9.560472186611046,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
766,False,"{'a': 0.5, 'e': 0.3085555313313402}",20,0,27.198090809968694,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
767,False,"{'a': 0.5, 'e': 0.3080822444435234}",25,17,-30.06945433761337,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
768,False,"{'a': 0.5, 'e': 0.3076096835205831}",25,9,18.69562635874787,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
769,False,"{'a': 0.5, 'e': 0.30713784744897676}",20,0,5.336871313897051,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
770,False,"{'a': 0.5, 'e': 0.3066667351168702}",25,10,26.09548177957821,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
